PMID,gene,drug,interaction
10080233,g1113,d2621,antagonist
17016423,g2402,d77,no_interaction
17023534,g183,d2136,agonist
17016423,g1113,d2434,no_interaction
11978145,g656,d2471,agonist
17016423,g1884,d2564,no_interaction
19568704,g1401,d3524,inhibitor
17016423,g2402,d2676,no_interaction
15204055,g1113,d155,antagonist
12404239,g11,d2215,inhibitor
15185063,g1112,d1976,agonist
14672537,g20,d2215,modulator
17016423,g1847,d2071,no_interaction
9744490,g1737,d2557,agonist
15082032,g1358,d3158,antagonist
19703035,g292,d3564,inhibitor
10455193,g1249,d3394,inhibitor
10530931,g449,d1907,antagonist
17016423,g2366,d3100,no_interaction
12165285,g1210,d53,antagonist
10755318,g10,d3322,inducer
17016423,g1601,d2385,no_interaction
16538529,g730,d2136,antagonist
15955613,g2099,d2589,inhibitor
17016423,g1883,d2385,no_interaction
17016423,g574,d2385,no_interaction
17016423,g2148,d2784,no_interaction
16291771,g1737,d1946,agonist
17016423,g1810,d2434,binder
17097577,g931,d2691,agonist
17016423,g1697,d2409,no_interaction
11078469,g19,d2202,binder
17016423,g1883,d1868,no_interaction
18691132,g655,d3145,agonist
17101561,g1480,d2595,product of
17016423,g2099,d2900,no_interaction
15251194,g122,d3047,cofactor
19119014,g295,d3425,inhibitor
17016423,g2099,d1740,no_interaction
26558340,g1737,d2303,agonist
14752016,g2319,d2781,inhibitor
14748653,g1445,d3405,antibody
10978155,g1479,d3334,cofactor
17016423,g730,d2750,no_interaction
17016423,g23,d2809,no_interaction
11829752,g2211,d2289,binder
15955613,g2149,d2589,no_interaction
17714066,g1695,d1998,inhibitor
17016423,g1611,d2146,no_interaction
17016423,g183,d2676,no_interaction
21852280,g2335,d428,agonist
1394620,g981,d444,inhibitor
17016423,g183,d2988,no_interaction
17016423,g2402,d2022,no_interaction
18552124,g448,d2174,antagonist
10708100,g1175,d286,antibody
15728856,g656,d2471,agonist
23545936,g1120,d2518,antagonist
6872937,g730,d1675,agonist
15955613,g2099,d163,inhibitor
7855217,g1078,d1679,no_interaction
11264449,g456,d3354,antagonist
16982289,g1884,d370,inhibitor
19465361,g1883,d3435,antagonist
15659304,g231,d1747,antagonist
10879806,g183,d2143,antagonist
17016423,g830,d83,no_interaction
18585815,g1194,d2361,agonist
25685857,g1688,d2867,antagonist
8301142,g1932,d2071,agonist
17016423,g830,d2676,no_interaction
20674373,g1477,d2559,agonist
16336194,g1721,d3047,cofactor
17016423,g2099,d2564,no_interaction
7865862,g656,d115,antagonist
17222188,g1479,d2595,product of
1311390,g2311,d168,inhibitor
15104113,g981,d444,inhibitor
29252,g1801,d1888,agonist
11834888,g15,d3256,inhibitor
17016423,g1645,d2022,no_interaction
1493594,g1337,d3458,inhibitor
14585280,g644,d253,inhibitor
15017615,g1884,d2517,inhibitor
17016423,g830,d2071,no_interaction
16239641,g1806,d3415,agonist
17016423,g741,d3417,no_interaction
17016423,g1884,d3100,no_interaction
17016423,g1645,d3504,no_interaction
17016423,g36,d1693,no_interaction
17016423,g2099,d2750,no_interaction
15991886,g472,d2513,inducer
15056048,g1998,d330,agonist
16300395,g786,d157,inhibitor
22537794,g2149,d222,inhibitor
11422732,g1805,d331,agonist
11000053,g1721,d3047,cofactor
17409426,g1806,d3259,negative modulator
17705025,g1909,d3047,cofactor
17023173,g644,d1823,inhibitor
17016423,g1587,d2750,no_interaction
17016423,g293,d3419,no_interaction
17016423,g1883,d2071,no_interaction
17016423,g36,d2441,no_interaction
18559524,g793,d2731,inhibitor
17461891,g1203,d2701,antibody
11207504,g1117,d3302,antagonist
10421444,g38,d2174,inhibitor
10500836,g1792,d1712,inducer
12416030,g631,d3442,inhibitor
17016423,g833,d2842,no_interaction
17016423,g1883,d330,no_interaction
17016423,g2099,d2123,no_interaction
17016423,g830,d1868,no_interaction
18020563,g815,d2285,agonist
15494548,g1884,d3481,inhibitor
15317404,g2056,d2149,potentiator
17628611,g92,d329,antagonist
17016423,g87,d2022,no_interaction
17016423,g1601,d2900,no_interaction
18691132,g655,d2498,antagonist
18599870,g2028,d96,inhibitor
16012181,g682,d2838,other
17016423,g1113,d2146,no_interaction
10852638,g1427,d2544,inhibitor
20403077,g618,d3047,cofactor
23702225,g1031,d3267,antagonist
17016423,g1113,d2441,no_interaction
18691132,g1114,d3148,no_interaction
16033281,g651,d3176,inhibitor
17016423,g23,d2409,no_interaction
19022240,g105,d2200,agonist
17016423,g1602,d1868,no_interaction
17016423,g1697,d330,no_interaction
15475658,g599,d2995,antagonist
17016423,g1602,d2900,no_interaction
17016423,g1611,d2670,no_interaction
18486144,g487,d3156,cofactor
20512796,g730,d3285,antagonist
17016423,g574,d3417,no_interaction
8301582,g656,d1927,no_interaction
10092828,g393,d107,antibody
17016423,g87,d3504,no_interaction
2108722,g815,d2285,agonist
17016423,g574,d532,no_interaction
10435400,g1108,d2957,antagonist
20210689,g1202,d3385,antagonist
7562497,g1635,d3031,agonist
10459139,g1931,d71,agonist
12562875,g1883,d2318,inhibitor
17016423,g1587,d2123,no_interaction
17016423,g833,d2750,no_interaction
17016423,g1611,d2677,no_interaction
18559524,g1306,d2731,inhibitor
17016423,g836,d432,no_interaction
9951949,g1401,d2644,antagonist
9917075,g487,d3395,inhibitor
17016423,g36,d3400,no_interaction
17016423,g1611,d77,no_interaction
3770229,g779,d2656,other
17190903,g308,d2638,inhibitor
17016423,g23,d2261,no_interaction
11447307,g676,d358,antagonist
17016423,g1587,d2261,no_interaction
14654525,g801,d3264,inhibitor
12604678,g19,d2702,inhibitor
20509750,g1601,d1883,agonist
17016423,g447,d3504,no_interaction
14720051,g92,d2155,agonist
11009046,g1884,d2065,inhibitor
24411477,g1644,d2034,antagonist
12764427,g19,d2702,inhibitor
17016423,g1587,d3417,no_interaction
17016423,g830,d2784,no_interaction
20072833,g1710,d1815,antagonist
17016423,g1113,d3417,no_interaction
17016423,g1611,d2595,no_interaction
9562338,g1108,d1703,agonist
11688997,g644,d1823,inhibitor
17016423,g293,d2441,no_interaction
17509103,g472,d2513,inducer
15466206,g791,d3226,inhibitor
12748309,g1710,d3264,inhibitor
17269766,g1421,d66,inhibitor
12086984,g1250,d1868,no_interaction
17016423,g479,d2564,no_interaction
21486038,g1120,d3530,antagonist
18604239,g842,d1731,potentiator
10866053,g1194,d2361,agonist
17016423,g1884,d2784,no_interaction
24235081,g343,d3499,agonist
10510456,g1246,d1708,inhibitor
17016423,g574,d2670,no_interaction
17016423,g618,d1740,no_interaction
15224175,g1109,d2022,agonist
17016423,g833,d2670,no_interaction
21157651,g633,d3316,inhibitor
17016423,g1587,d3100,no_interaction
17016423,g2402,d2842,no_interaction
17016423,g618,d2677,no_interaction
1543672,g2197,d3314,inhibitor
11842444,g656,d2142,antagonist
17016423,g1810,d3417,no_interaction
14728934,g2311,d2008,inhibitor
3004700,g353,d2873,agonist
18691132,g657,d3145,agonist
10895904,g1884,d446,inhibitor
11160603,g778,d3561,inhibitor
17016423,g1810,d3504,no_interaction
18704368,g1108,d3148,agonist
15476392,g1626,d3047,cofactor
18041889,g398,d52,antagonist
17016423,g2148,d83,no_interaction
20502722,g1358,d3564,inhibitor
17016423,g2366,d2261,no_interaction
17016423,g1587,d3504,no_interaction
23410971,g250,d3502,inhibitor
12023686,g100,d3487,antagonist
17016423,g36,d83,no_interaction
16472864,g1242,d1804,antagonist
10403635,g38,d2940,inhibitor
23134735,g1364,d359,inhibitor
